phase,architecture,dim,window,negative,start_lr,epochs,subsample_t,vocab_size,train_time_s,loss_start,loss_end,loss_drop,semantic_score,nn_score,analogy_score,sat_ratio,mean_top1_sim,top1_sim_std,saturation_penalty,model_tag
base,skipgram,200,5,10,0.005,20,0.001,4163,184.25,0.693144,0.280979,0.412165,0.0,0.1111,0.0,0.7778,0.9651,0.0424,0.6343,skipgram_d200_w5_n10_lr0p005_ep20_ss1em03
base,skipgram,200,5,15,0.005,20,0.001,4163,195.04,0.693042,0.212494,0.480548,0.0,0.1111,0.0,0.8889,0.9413,0.1063,0.7042,skipgram_d200_w5_n15_lr0p005_ep20_ss1em03
base,skipgram,200,7,10,0.005,20,0.001,4163,232.76,0.693119,0.267143,0.425977,0.0,0.1111,0.0,0.8889,0.9629,0.0708,0.7215,skipgram_d200_w7_n10_lr0p005_ep20_ss1em03
base,skipgram,200,7,15,0.005,20,0.001,4163,242.17,0.689487,0.203571,0.485917,0.0,0.1111,0.0,0.8889,0.9612,0.0559,0.72,skipgram_d200_w7_n15_lr0p005_ep20_ss1em03
base,skipgram,300,3,15,0.005,20,0.001,4163,144.85,0.693145,0.225346,0.467799,0.0,0.1111,0.0,0.8889,0.9804,0.0154,0.7354,skipgram_d300_w3_n15_lr0p005_ep20_ss1em03
base,skipgram,300,5,5,0.005,20,0.001,4163,171.73,0.693147,0.445081,0.248066,0.0,0.1111,0.0,1.0,0.9853,0.0147,0.8283,skipgram_d300_w5_n5_lr0p005_ep20_ss1em03
tuned,skipgram,100,3,5,0.005,40,0.001,4163,219.08,0.693147,0.401307,0.29184,0.0,0.1111,0.0,0.8889,0.9451,0.0839,0.7072,skipgram_d100_w3_n5_lr0p005_ep40_ss1em03
tuned,skipgram,100,3,5,0.01,20,0.001,4163,107.53,0.693146,0.403574,0.289573,0.0,0.1111,0.0,0.8889,0.9532,0.0531,0.7137,skipgram_d100_w3_n5_lr0p01_ep20_ss1em03
tuned,skipgram,100,3,10,0.002,40,0.001,4163,223.83,0.693147,0.32312,0.370027,0.0,0.1111,0.0,1.0,0.9854,0.0122,0.8283,skipgram_d100_w3_n10_lr0p002_ep40_ss1em03
tuned,skipgram,100,3,10,0.005,40,0.001,4163,223.61,0.693146,0.257257,0.43589,0.0,0.1111,0.0,0.8889,0.9434,0.0802,0.7058,skipgram_d100_w3_n10_lr0p005_ep40_ss1em03
tuned,skipgram,100,3,10,0.01,20,0.0005,4163,93.01,0.693144,0.289019,0.404124,0.0,0.1111,0.0,0.7778,0.9769,0.0227,0.6437,skipgram_d100_w3_n10_lr0p01_ep20_ss5em04
tuned,skipgram,100,3,15,0.002,40,0.001,4163,233.5,0.693147,0.233417,0.45973,0.0,0.1111,0.0,0.8889,0.9807,0.0175,0.7356,skipgram_d100_w3_n15_lr0p002_ep40_ss1em03
tuned,skipgram,100,3,15,0.005,40,0.001,4163,241.99,0.693142,0.195935,0.497207,0.0,0.1111,0.0,0.8889,0.9427,0.077,0.7053,skipgram_d100_w3_n15_lr0p005_ep40_ss1em03
tuned,skipgram,100,3,15,0.01,20,0.001,4163,121.02,0.688771,0.198345,0.490426,0.0,0.1111,0.0,0.7778,0.9357,0.0716,0.6108,skipgram_d100_w3_n15_lr0p01_ep20_ss1em03
base,skipgram,100,3,15,0.005,20,0.001,4163,128.74,0.693142,0.224122,0.46902,0.0,0.0889,0.0,0.6667,0.9598,0.0419,0.5411,skipgram_d100_w3_n15_lr0p005_ep20_ss1em03
base,skipgram,200,3,10,0.005,20,0.001,4163,128.06,0.693147,0.303622,0.389524,0.0,0.0889,0.0,0.8889,0.9671,0.0459,0.7248,skipgram_d200_w3_n10_lr0p005_ep20_ss1em03
base,skipgram,200,5,5,0.005,20,0.001,4163,175.64,0.693147,0.444137,0.24901,0.0,0.0889,0.0,1.0,0.9851,0.0141,0.8281,skipgram_d200_w5_n5_lr0p005_ep20_ss1em03
base,skipgram,300,3,10,0.005,20,0.001,4163,125.55,0.693147,0.304571,0.388576,0.0,0.0889,0.0,0.8889,0.9799,0.0266,0.7351,skipgram_d300_w3_n10_lr0p005_ep20_ss1em03
base,skipgram,300,5,10,0.005,20,0.001,4163,187.05,0.693145,0.281461,0.411684,0.0,0.0889,0.0,0.8889,0.9694,0.0387,0.7267,skipgram_d300_w5_n10_lr0p005_ep20_ss1em03
base,skipgram,300,5,15,0.005,20,0.001,4163,200.62,0.693095,0.212867,0.480228,0.0,0.0889,0.0,0.8889,0.9577,0.0436,0.7173,skipgram_d300_w5_n15_lr0p005_ep20_ss1em03
base,skipgram,300,7,10,0.005,20,0.001,4163,238.59,0.693133,0.267564,0.425569,0.0,0.0889,0.0,0.8889,0.9699,0.0555,0.727,skipgram_d300_w7_n10_lr0p005_ep20_ss1em03
base,skipgram,300,7,15,0.005,20,0.001,4163,248.58,0.690589,0.205071,0.485519,0.0,0.0889,0.0,0.8889,0.961,0.0576,0.7199,skipgram_d300_w7_n15_lr0p005_ep20_ss1em03
tuned,skipgram,100,3,10,0.01,20,0.001,4163,111.98,0.69311,0.259908,0.433201,0.0,0.0889,0.0,0.6667,0.9457,0.0695,0.5299,skipgram_d100_w3_n10_lr0p01_ep20_ss1em03
base,skipgram,100,5,10,0.005,20,0.001,4163,185.29,0.693142,0.278758,0.414385,0.0,0.0667,0.0,0.7778,0.9399,0.1073,0.6141,skipgram_d100_w5_n10_lr0p005_ep20_ss1em03
base,skipgram,100,7,5,0.005,20,0.001,4163,235.2,0.693146,0.406526,0.286621,0.0,0.0667,0.0,0.8889,0.9688,0.0557,0.7262,skipgram_d100_w7_n5_lr0p005_ep20_ss1em03
base,skipgram,100,7,15,0.005,20,0.001,4163,251.85,0.688354,0.202181,0.486173,0.0,0.0667,0.0,0.7778,0.958,0.0501,0.6286,skipgram_d100_w7_n15_lr0p005_ep20_ss1em03
base,skipgram,200,7,5,0.005,20,0.001,4163,228.55,0.693147,0.411038,0.282108,0.0,0.0667,0.0,0.8889,0.9776,0.0312,0.7332,skipgram_d200_w7_n5_lr0p005_ep20_ss1em03
base,skipgram,300,7,5,0.005,20,0.001,4163,236.63,0.693147,0.413908,0.279239,0.0,0.0667,0.0,0.8889,0.9784,0.0354,0.7338,skipgram_d300_w7_n5_lr0p005_ep20_ss1em03
tuned,skipgram,100,3,5,0.01,40,0.001,4163,214.43,0.693146,0.322279,0.370868,0.0,0.0667,0.0,0.1111,0.9,0.0667,0.12,skipgram_d100_w3_n5_lr0p01_ep40_ss1em03
tuned,skipgram,100,3,10,0.01,40,0.001,4163,224.52,0.693108,0.210865,0.482243,0.0,0.0667,0.0,0.1111,0.8606,0.0884,0.0885,skipgram_d100_w3_n10_lr0p01_ep40_ss1em03
base,skipgram,100,7,10,0.005,20,0.001,4163,244.02,0.69311,0.26452,0.42859,0.0,0.0444,0.0,0.8889,0.9624,0.0592,0.721,skipgram_d100_w7_n10_lr0p005_ep20_ss1em03
tuned,skipgram,100,3,10,0.01,40,0.0005,4163,186.38,0.693143,0.244908,0.448236,0.0,0.0444,0.0,0.7778,0.9367,0.0815,0.6116,skipgram_d100_w3_n10_lr0p01_ep40_ss5em04
tuned,skipgram,100,3,15,0.01,40,0.001,4163,242.88,0.688483,0.16078,0.527703,0.0,0.0444,0.0,0.1111,0.8505,0.0843,0.0804,skipgram_d100_w3_n15_lr0p01_ep40_ss1em03
tuned,skipgram,100,3,5,0.01,40,0.0005,4163,178.96,0.693147,0.373371,0.319775,0.0,0.0222,0.0,0.7778,0.9508,0.061,0.6229,skipgram_d100_w3_n5_lr0p01_ep40_ss5em04
tuned,skipgram,100,3,15,0.01,40,0.0005,4163,195.31,0.693058,0.184814,0.508244,0.0,0.0222,0.0,0.5556,0.9288,0.0743,0.4275,skipgram_d100_w3_n15_lr0p01_ep40_ss5em04
